"ID"	"MN"	"H"	"C"	"O"	"N"	"S"	"P"	"Na"	"ME"	"Scores"	"NBP"	"Peptide"	"KEGG"
"13895"	"427.138644"	"26"	"15"	"10"	"2"	"1"	"0"	"1"	"450.1278904"	"-0.147887457"	"0"	"No Peptide Found"	"Non metabolites found"
"12291"	"427.146817"	"26"	"13"	"9"	"5"	"0"	"1"	"0"	"428.1546032"	"1.322890997"	"0"	"No Peptide Found"	"Non metabolites found"
"12294"	"427.162453"	"29"	"15"	"9"	"3"	"1"	"0"	"0"	"428.1698111"	"0.025622874"	"0"	"No Peptide Found"	"Non metabolites found"
"12295"	"427.165443"	"30"	"14"	"6"	"5"	"1"	"1"	"0"	"428.1728881"	"0.330309295"	"0"	"No Peptide Found"	"Non metabolites found"
"12297"	"427.169465"	"30"	"19"	"4"	"3"	"1"	"1"	"0"	"428.1767413"	"-0.004488132"	"0"	"No Peptide Found"	"Non metabolites found"
"12298"	"427.171182"	"29"	"18"	"3"	"5"	"2"	"0"	"0"	"428.1786055"	"0.904312238"	"0"	"No Peptide Found"	"Non metabolites found"
"12299"	"427.173305"	"26"	"16"	"5"	"7"	"0"	"1"	"0"	"428.1805236"	"-0.443542066"	"0"	"No Peptide Found"	"Non metabolites found"
"12300"	"427.174337"	"25"	"22"	"6"	"3"	"0"	"0"	"0"	"428.1818517"	"-0.008272577"	"1"	"D1F2"	"Non metabolites found"
"12301"	"427.182415"	"29"	"17"	"2"	"7"	"2"	"0"	"0"	"428.1894813"	"0.700927493"	"0"	"No Peptide Found"	"Non metabolites found"
"12302"	"427.184234"	"29"	"20"	"9"	"1"	"0"	"0"	"0"	"428.1918"	"-0.157124511"	"0"	"No Peptide Found"	"Non metabolites found"
"12303"	"427.187605"	"33"	"17"	"9"	"1"	"1"	"0"	"0"	"428.19513"	"1.609170255"	"0"	"No Peptide Found"	"Non metabolites found"
"12305"	"427.205364"	"33"	"17"	"11"	"1"	"0"	"0"	"0"	"428.2130311"	"-0.634160628"	"0"	"No Peptide Found"	"Non metabolites found"
"12306"	"427.210722"	"29"	"23"	"5"	"3"	"0"	"0"	"0"	"428.2184024"	"0.83224168"	"1"	"V1F1Y1"	"Non metabolites found"
"12307"	"427.220619"	"33"	"21"	"8"	"1"	"0"	"0"	"0"	"428.2282513"	"-0.32113957"	"0"	"No Peptide Found"	"Non metabolites found"
"12308"	"427.225326"	"33"	"19"	"4"	"5"	"1"	"0"	"0"	"428.232815"	"-0.050043937"	"0"	"No Peptide Found"	"Non metabolites found"
"12309"	"427.243085"	"33"	"19"	"6"	"5"	"0"	"0"	"0"	"428.2506618"	"1.255688632"	"4"	"S1P2K1;G2P1V2;G1A2P1L1;A3P1V1"	"Non metabolites found"
"12310"	"427.254318"	"33"	"18"	"5"	"7"	"0"	"0"	"0"	"428.261901"	"0.944851145"	"1"	"G1P1V1R1"	"Non metabolites found"
"12311"	"427.257004"	"37"	"22"	"7"	"1"	"0"	"0"	"0"	"428.2645561"	"0.031826558"	"0"	"No Peptide Found"	"Non metabolites found"
"12312"	"427.267205"	"38"	"15"	"5"	"7"	"0"	"1"	"0"	"428.27449"	"-0.149566841"	"0"	"No Peptide Found"	"Non metabolites found"
"12313"	"427.27947"	"37"	"20"	"5"	"5"	"0"	"0"	"0"	"428.2871193"	"1.301462282"	"1"	"A1P1L1K1"	"Non metabolites found"
"12315"	"427.293389"	"41"	"23"	"6"	"1"	"0"	"0"	"0"	"428.3011009"	"-0.349723211"	"0"	"No Peptide Found"	"Non metabolites found"
"12316"	"427.366159"	"49"	"25"	"4"	"1"	"0"	"0"	"0"	"428.37362"	"-0.543474462"	"0"	"No Peptide Found"	"Non metabolites found"
"13929"	"427.931397"	"13"	"3"	"15"	"1"	"0"	"4"	"1"	"450.9210862"	"2.61503885"	"0"	"No Peptide Found"	"Non metabolites found"
"12329"	"427.955451"	"14"	"12"	"9"	"0"	"2"	"2"	"0"	"428.9633919"	"0.352602709"	"0"	"No Peptide Found"	"Non metabolites found"
"12331"	"427.960945"	"15"	"7"	"11"	"2"	"1"	"3"	"0"	"428.9685613"	"0.040419285"	"0"	"No Peptide Found"	"Non metabolites found"
"12333"	"427.967534"	"9"	"9"	"12"	"4"	"1"	"1"	"0"	"428.9747057"	"-2.378837362"	"0"	"No Peptide Found"	"Non metabolites found"
"12334"	"427.97321"	"14"	"12"	"11"	"0"	"1"	"2"	"0"	"428.9811"	"0.077988628"	"0"	"No Peptide Found"	"Non metabolites found"
"12336"	"427.978704"	"15"	"7"	"13"	"2"	"0"	"3"	"0"	"428.9864607"	"0.524638063"	"0"	"No Peptide Found"	"Non metabolites found"
"12337"	"427.98232"	"17"	"13"	"8"	"0"	"3"	"1"	"0"	"428.9895979"	"-0.905267656"	"0"	"No Peptide Found"	"Non metabolites found"
"12338"	"427.987814"	"18"	"8"	"10"	"2"	"2"	"2"	"0"	"428.994994"	"-1.374213691"	"0"	"No Peptide Found"	"Non metabolites found"
"12340"	"427.99434"	"18"	"9"	"13"	"0"	"1"	"2"	"0"	"429.00212"	"0.672696186"	"0"	"No Peptide Found"	"Non metabolites found"
"12341"	"427.99733"	"19"	"8"	"10"	"2"	"1"	"3"	"0"	"429.0047684"	"0.243146142"	"0"	"No Peptide Found"	"Non metabolites found"
"12342"	"428.005573"	"18"	"8"	"12"	"2"	"1"	"2"	"0"	"429.01284"	"-0.847242942"	"0"	"No Peptide Found"	"Non metabolites found"
"12343"	"428.009595"	"18"	"13"	"10"	"0"	"1"	"2"	"0"	"429.01765"	"0.536955395"	"0"	"No Peptide Found"	"Non metabolites found"
"12344"	"428.017838"	"17"	"13"	"12"	"0"	"1"	"1"	"0"	"429.0251649"	"-0.510819739"	"0"	"No Peptide Found"	"Non metabolites found"
"12345"	"428.020828"	"18"	"12"	"9"	"2"	"1"	"2"	"0"	"429.0284567"	"-0.95362186"	"0"	"No Peptide Found"	"Non metabolites found"
"12346"	"428.033778"	"17"	"10"	"7"	"6"	"2"	"1"	"0"	"429.041084"	"-0.411143983"	"0"	"No Peptide Found"	"Non metabolites found"
"13934"	"428.035908"	"19"	"9"	"14"	"1"	"0"	"2"	"1"	"451.0254976"	"-0.401053361"	"0"	"No Peptide Found"	"Non metabolites found"
"12347"	"428.0378"	"17"	"15"	"5"	"4"	"2"	"1"	"0"	"429.0452934"	"0.134165377"	"0"	"No Peptide Found"	"Non metabolites found"
"13935"	"428.038898"	"20"	"8"	"11"	"3"	"0"	"3"	"1"	"451.0281961"	"0.747163275"	"0"	"No Peptide Found"	"Non metabolites found"
"12348"	"428.040304"	"17"	"11"	"10"	"4"	"1"	"1"	"0"	"429.0477987"	"-0.112984673"	"0"	"No Peptide Found"	"Non metabolites found"
"12349"	"428.048547"	"16"	"11"	"12"	"4"	"1"	"0"	"0"	"429.0556282"	"-0.557685863"	"0"	"No Peptide Found"	"Non metabolites found"
"12352"	"428.065456"	"21"	"13"	"10"	"2"	"1"	"1"	"0"	"429.0730091"	"-0.059019606"	"0"	"No Peptide Found"	"Non metabolites found"
"12353"	"428.072531"	"16"	"18"	"3"	"6"	"2"	"0"	"0"	"429.0797291"	"0.282763355"	"0"	"No Peptide Found"	"Non metabolites found"
"12354"	"428.080711"	"21"	"17"	"7"	"2"	"1"	"1"	"0"	"429.08808"	"0.093688258"	"0"	"No Peptide Found"	"Non metabolites found"
