ID	Mass	x11_06_2016_QC_GA2_01_484_csv	x11_06_2016_QC_GA2_01_485_csv	x11_06_2016_QC_GA2_01_490_csv	x11_06_2016_QC_GA2_01_491_csv	x11_06_2016_QC_GA2_01_492_csv	x11_06_2016_QC_GA2_01_493_csv	x11_06_2016_QC_GA2_01_494_csv	x11_06_2016_QC_GA2_01_500_csv	x11_06_2016_QC_GA2_01_512_csv	x11_06_2016_QC_GA2_01_518_csv
524	256.178824	566799	527661	438807.5	411131	396087.4	502882	428787.7	635815	547187.4	621199
525	257.102994	1842067	1833684	2455990.8	2444170	2431699.5	2409799	2454210	2378158	2434474.5	2451164
526	258.014424	0	0	0	0	0	0	0	0	0	51018
527	258.014424	1007690	1068717	1206191.9	1232412	1188258	1197030	1227534.4	1225116	1280478.6	1269205
528	258.073824	146292	0	0	0	0	0	0	123649	0	140543
529	258.072024	0	0	0	0	0	0	0	213772	0	0
530	258.085324	295446	245469	232215.1	0	165385	0	0	0	0	0
531	258.121734	5274207	5297673	5238915	5321144	5291807	5294557	5248094.5	5305428	5394550.5	5366503
532	258.137109714286	182006	207758	193971	183479	0	0	200428	0	208490.1	200053
533	258.194512888889	410070	424463	416644.1	421629	419702.9	419184	432286.1	422616	0	414038
534	258.194564	1975928	2093819	2067752.8	2083588	2041968.1	2045874	2097711	2023364	1986084	2047015
535	259.048624	0	108067	0	0	0	0	0	0	0	0
536	259.153449	0	482399	0	0	489383.5	491233	0	0	544635.4	0
537	259.153224	0	0	0	0	0	172252	0	0	0	0
538	259.189624	184669	187499	220099.1	211149	215427.9	205935	224405.7	210663	223636.7	219789
539	260.030012888889	502041	588046	560985.4	565551	0	557239	580273.3	525178	580869.3	597037
540	260.053274	251024	249761	267141.1	270847	262224.6	259547	256951.4	267397	268769	269259
541	260.137244	1159318	1159592	1126576.5	1118448	1133010.6	1112635	1116851.3	1129853	1132919.1	1101267
542	260.137399	603312	671195	655247.6	0	649858.4	0	0	0	0	0
543	260.1374865	949460	1024316	0	876214	872492.9	894127	898561.8	934899	905739.9	0
544	260.152974	0	62937	0	92787	0	0	107749.9	94863	0	0
545	260.173844	393401	456459	418773.1	0	438393.6	0	0	0	0	446944
546	262.052944	1124128	1164452	1046383.1	960168	978804.9	946342	961802.9	1015246	1001104.1	1015483
547	262.135479555556	364476	402382	354758.8	323966	351164.2	354099	291351.1	0	366987.9	399418
548	262.132244	4595456	4830669	4397338	4428745	4553415.5	4599666	4480026.5	4572912	4656284	4629158
549	262.135524	0	0	0	0	0	0	284768.7	0	0	0
550	262.135924	0	0	0	0	0	0	0	348118	0	0
551	263.022074	0	0	0	0	0	0	0	0	222645	229227
552	263.082824	494855	571479	0	0	0	0	0	0	0	512488
553	264.028774	0	74852	0	0	0	0	56232.4	0	0	0
554	264.033324	174672	169398	108486.1	113145	122000.8	113806	117268.8	114701	113109.8	116498
555	264.136324	570927	609502	599064.1	611398	606901.7	614249	618813.3	606635	620824.1	591616
556	264.147604	2577367	2809172	2528013.8	2565455	2446994.8	2584153	2621919.3	2557609	2594480.3	2600820
557	264.147654	3885866	4165156	3816785.5	3849653	3855183	4022316	4036935.8	4059592	4081075.8	4010188
558	264.147649	225516	279291	0	276766	0	267330	0	0	0	0
559	264.147374	0	0	0	185513	0	176689	0	0	0	0
560	265.920244	919731	864915	941285.9	843896	781008.3	734955	742673.1	716611	691717.3	666920
561	266.126824	148773	107879	0	0	0	0	0	0	0	0
562	266.126824	532513	521162	454457.4	0	428987.8	446222	469164.2	459681	470082.3	0
563	266.126224	213404	0	0	0	0	0	0	0	0	0
564	267.953324	0	0	0	0	0	793820	0	0	0	0
565	268.167824	0	1046335	0	0	0	0	0	0	0	0
566	268.167624	0	0	0	0	0	0	0	0	2125123.8	0
567	268.167424	0	0	0	753133	0	655117	0	0	0	0
568	268.167757333333	0	937883	0	0	0	0	931328.7	995583	0	0
569	269.185290666667	742084	764965	738683.9	734342	732461.9	747775	753841.3	771738	0	766620
570	269.9515865	0	0	208576.8	222235	224727.4	227248	0	347087	191074.5	183936
571	270.071774	0	634524	788128.9	800857	801527.9	805997	0	775345	825257.8	797697
572	272.137394	401394	371225	395670.9	369501	387071.6	374168	383570.2	404501	397659.9	404469
573	272.137474	299021	227598	302460.2	283664	259367.2	253322	273554.2	266390	277398.3	287912
574	272.210244	1406531	1400286	1497936.3	1493479	1502111	1475474	1496739.8	1456109	1469164.4	1448474
575	272.209824	0	0	0	0	0	0	0	0	0	882542
576	273.085324	0	208659	0	0	0	0	0	0	0	0
577	273.157984	0	0	656194	858793	0	669397	0	758984	537735	0
578	274.009024	0	0	0	0	0	0	0	205948	0	212093
579	274.066566857143	0	0	128592.2	214574	175918.8	195413	177029.7	192268	179745.8	0
580	274.153099	0	1150735	0	0	1060147.1	1048660	0	0	1113857.3	0
