ID	MN	H	C	O	N	S	P	Na	ME	Biomarker
8231	375.934111	8	7	10	2	3	0	0	376.94163	0
9922	375.947093	7	7	13	1	0	2	1	398.9365288	0
9925	375.95998	12	4	13	1	0	3	1	398.9495476	0
8236	375.972619	9	6	11	4	1	1	0	376.9797709	0
8237	375.989528	14	8	9	2	1	2	0	376.997034	0
9932	375.996365	16	5	12	1	0	3	1	398.985988	0
8238	376.009004	13	7	10	4	1	1	0	377.0159658	0
8239	376.025913	18	9	8	2	1	2	0	377.0333033	0
8240	376.032502	12	11	9	4	1	0	0	377.03947	0
8241	376.039895	16	13	7	2	2	0	0	377.04694	0
8242	376.041231	12	14	3	6	2	0	0	377.0483767	0
8243	376.042399	16	9	12	2	1	0	0	377.0497775	0
8244	376.04305	12	17	10	0	0	0	0	377.0504825	0
8245	376.043672	18	9	10	2	0	2	0	377.051375	0
8246	376.047757	12	15	6	4	1	0	0	377.055375	0
8247	376.049411	17	13	7	2	1	1	0	377.0568424	0
8249	376.062361	16	11	5	6	2	0	0	377.0694842	0
8250	376.068887	16	12	8	4	1	0	0	377.0759	0
8251	376.077616	16	15	2	6	2	0	0	377.0848062	0
8252	376.085796	21	14	6	2	1	1	0	377.0933069	0
9956	376.088856	21	15	6	1	2	0	1	399.0783617	0
9957	376.09136	21	11	11	1	1	0	1	399.0804444	0
8254	376.097029	21	13	5	4	1	1	0	377.104527	0
8255	376.102768	20	17	2	4	2	0	0	377.1098874	0
9964	376.106615	21	15	8	1	1	0	1	399.0961873	0
8257	376.113452	25	12	11	0	0	1	0	377.1210753	0
9971	376.114477	17	17	7	3	0	0	1	399.1038929	0
9975	376.119502	26	12	8	1	1	1	1	399.1089936	0
8258	376.122181	25	15	5	2	1	1	0	377.1294871	0
8259	376.123898	24	14	4	4	2	0	0	377.13089	0
8260	376.128707	25	16	8	0	0	1	0	377.1362587	0
8262	376.134446	24	20	5	0	1	0	0	377.1420857	0
8263	376.139153	24	18	1	4	2	0	0	377.1462936	0
8264	376.141657	24	14	6	4	1	0	0	377.1489311	0
8265	376.150386	24	17	0	6	2	0	0	377.1575558	0
8266	376.158566	29	16	4	2	1	1	0	377.1659089	0
8267	376.159416	24	14	8	4	0	0	0	377.1671765	1
8268	376.165092	29	17	7	0	0	1	0	377.1728327	0
8269	376.168145	24	17	2	6	1	0	0	377.1752574	0
9991	376.171992	25	15	8	3	0	0	1	399.1615453	0
8271	376.174671	24	18	5	4	0	0	0	377.1823039	1
8272	376.178042	28	15	5	4	1	0	0	377.1856574	1
8273	376.184568	28	16	8	2	0	0	0	377.1920803	0
8274	376.186086	28	25	1	0	1	0	0	377.1938564	0
8275	376.189275	28	14	4	6	1	0	0	377.1969015	0
9997	376.197144	29	17	8	1	0	0	1	399.1865204	0
8277	376.201477	33	18	6	0	0	1	0	377.2091042	0
8278	376.203845	28	25	3	0	0	0	0	377.2117233	0
8283	376.28249	40	20	6	0	0	0	0	377.2901103	0
10011	376.306299	41	20	5	1	0	0	1	399.2958631	0
10025	376.982098	14	4	12	2	1	2	1	399.9712117	1
8289	377.000413	16	9	9	1	2	1	0	378.0080714	0
10027	377.015112	14	8	11	2	0	2	1	400.0046325	0
8290	377.026901	16	12	5	3	2	1	0	378.0341178	1
11797	377.038921	15	8	10	3	0	2	2	422.0103551	0
8293	377.050399	15	16	4	3	2	0	0	378.0577959	0
10030	377.051497	18	9	10	2	0	2	1	400.0411066	0
8295	377.064136	15	11	8	5	1	0	0	378.0711232	0
8296	377.072865	15	14	2	7	2	0	0	378.080205	0
8297	377.081045	20	13	6	3	1	1	0	378.0883973	0
8299	377.098804	20	13	8	3	0	1	0	378.1064098	0
8300	377.100521	19	12	7	5	1	0	0	378.1076829	0
10040	377.103518	25	12	9	0	1	1	1	400.0930543	0
8301	377.106197	24	15	6	1	1	1	0	378.1134413	0
8302	377.111936	23	19	3	1	2	0	0	378.1194704	0
8303	377.114059	20	17	5	3	0	1	0	378.1217167	0
10044	377.114751	25	11	8	2	1	1	1	400.10441	0
8304	377.115307	27	16	3	1	3	0	0	378.12264	0
8305	377.115776	19	16	4	5	1	0	0	378.123352	0
8306	377.11743	24	14	5	3	1	1	0	378.1247918	0
8307	377.119147	23	13	4	5	2	0	0	378.126152	0
8308	377.119147	23	13	4	5	2	0	0	378.1269077	0
8309	377.120801	28	11	5	3	2	1	0	378.1279712	0
8310	377.122302	19	17	7	3	0	0	0	378.1300778	0
10047	377.130856	20	13	9	4	0	0	1	400.12018	0
8314	377.143432	23	14	9	3	0	0	0	378.1509189	0
8316	377.153815	28	15	4	3	1	1	0	378.16127	0
8317	377.158687	23	18	6	3	0	0	0	378.1663231	0
8318	377.162058	27	15	6	3	1	0	0	378.169658	1
8319	377.168584	27	16	9	1	0	0	0	378.1762113	0
10059	377.174634	28	16	6	2	1	0	1	400.163696	1
8321	377.198443	31	16	5	3	1	0	0	378.2058931	1
8323	377.217538	27	17	3	7	0	0	0	378.2244682	0
8325	377.231457	31	20	4	3	0	0	0	378.2390322	1
8327	377.234828	35	17	4	3	1	0	0	378.2423	0
8328	377.235479	31	25	2	1	0	0	0	378.2430533	0
8329	377.238668	31	14	5	7	0	0	0	378.2463327	0
8331	377.241354	35	18	7	1	0	0	0	378.2489742	0
8332	377.24269	31	19	3	5	0	0	0	378.25022	0
8333	377.244344	36	17	4	3	0	1	0	378.2520633	0
10103	377.894617	7	2	13	1	0	4	1	400.88412	0
8355	377.940651	7	6	13	2	1	1	0	378.9476257	0
8359	377.988269	11	6	11	4	1	1	0	378.9951549	0
