ID	Mass	RT
2390	136,016724	6,5936
2398	136,039024	1,2612
2402	136,049524	4,0114
2409	136,052824	2,8947
2408	136,052824	3,6009
2410	136,053124	4,8094
2412	136,053524	1,5322
2413	136,053524	5,806
2415	136,053824	4,1419
2416	136,053924	4,3794
2426	136,057624	2,1062
2427	136,061424	1,2003
2430	136,068824	1,488
2432	136,074624	1,1333
2438	136,088924	4,3286
2437	136,088924	5,6961
2441	136,089124	6,8814
2443	136,089224	6,6966
2445	136,089324	6,2356
2444	136,089324	8,7332
2460	137,046324	1,0802
2463	137,048224	4,2635
2465	137,048424	3,306
2466	137,048824	2,4085
2467	137,050624	1,5363
2469	137,055524	3,6073
2473	137,059024	5,506
2485	137,975624	3,1738
2493	137,995524	1,2559
2494	137,995524	3,7737
2495	137,995524	5,6686
2497	137,995624	1,359
2498	137,995624	4,3853
2502	137,995924	5,3784
2512	138,031524	4,2923
2515	138,031624	1,1603
2516	138,031624	4,1149
2517	138,031724	4,9028
2518	138,031824	4,5362
2519	138,031924	5,1666
2522	138,032224	3,3332
2526	138,049924	1,0831
2532	138,087524	4,7399
2539	138,998524	3,7779
2542	138,999624	1,2561
2544	139,026724	1,1713
2547	139,035424	4,5369
2551	139,036824	5,1675
2552	139,054624	1,083
2553	139,063724	4,0716
2560	139,976924	4,2718
2561	139,979024	1,3423
2567	139,994524	2,5484
2570	140,011324	1,1927
2571	140,030624	3,177
2574	140,046424	4,5206
2576	140,047524	8,2208
2577	140,047724	8,9257
2578	140,047924	5,1045
2580	140,051824	3,6302
2582	140,058424	3,9495
2583	140,058924	1,0559
2587	140,060824	6,3652
2590	140,095224	4,9896
2597	140,096424	1,2627
2608	140,988024	4,8126
2613	141,042824	1,2557
2614	141,042924	1,5648
2617	141,051424	8,2248
2620	141,057724	5,1024
2623	141,058824	5,6031
2626	141,078724	4,1345
2627	141,079224	3,7067
2628	141,079424	1,2618
2630	141,079624	1,1741
2631	141,079624	1,7066
2638	141,115424	6,0263
2648	141,973024	4,741
2653	142,010624	3,0966
2656	142,026524	1,5993
2658	142,032924	1,1685
2660	142,064724	7,4632
2667	142,066224	5,0674
2668	142,066224	5,3405
2671	142,069624	4,6947
2673	142,073224	4,1281
2676	142,074324	1,0567
2677	142,076124	1,1706
2680	142,110624	3,1304
2682	142,110724	5,9439
2687	142,110824	1,5115
2686	142,110824	5,1134
2688	142,110824	5,2092
2690	142,110924	4,1672
2691	142,110924	5,6912
2694	142,111124	6,1782
2698	142,111624	1,2639
2707	142,987224	4,8997
2714	143,037224	4,2858
2718	143,040924	2,2208
2719	143,043524	1,43
2720	143,047224	1,9509
2721	143,049224	1,2612
2722	143,052024	4,4895
2725	143,058224	1,8937
2727	143,058724	1,1001
2731	143,065424	4,4906
2735	143,073124	4,0224
2739	143,073524	5,066
2741	143,073524	6,6371
2738	143,073524	7,4621
2742	143,073624	5,341
2744	143,073924	4,8195
2747	143,074124	5,6284
2759	143,094424	1,6871
2760	143,094524	1,961
2762	143,094624	6,3475
2763	143,094724	1,1188
2764	143,094724	2,0927
2767	143,094824	1,2275
2770	143,095024	8,6854
2772	143,095224	5,0261
2784	143,988724	1,6744
2789	144,002224	3,2109
2792	144,004724	3,1666
2798	144,021124	3,5888
2799	144,021224	3,7919
2801	144,021524	4,8347
2804	144,022124	6,359
2805	144,022224	6,6973
2806	144,022424	4,9924
2809	144,028824	3,9957
2814	144,041324	4,2897
2818	144,042624	3,1695
2820	144,042724	1,1102
2821	144,042724	1,258
2822	144,042724	1,6675
2832	144,052024	3,7159
2833	144,052124	3,6
2841	144,076324	5,0656
2844	144,077624	7,4622
2850	144,083224	5,7712
2855	144,093824	5,2639
2858	144,095524	1,1439
2862	144,097924	1,966
2867	145,011624	1,1374
2872	145,025224	4,8358
2873	145,025624	3,7902
2877	145,035724	1,134
2879	145,050724	4,024
2889	145,053024	1,6451
2887	145,053024	2,8166
2886	145,053024	3,5725
2888	145,053024	5,6224
2891	145,053124	1,7844
2895	145,053224	5,0667
2896	145,053224	6,8669
2900	145,053324	4,2354
2902	145,053424	5,3414
2903	145,053624	3,7829
2906	145,054024	5,5391
2911	145,073824	1,064
2912	145,074624	3,7053
2914	145,080724	1,219
2926	145,110524	1,101
2928	145,110724	2,9073
2929	145,111124	3,9159
2930	145,114224	1,2382
2942	146,032124	1,2621
2946	146,036624	3,8279
2945	146,036624	4,4542
2950	146,036924	5,902
2952	146,037024	4,6375
2953	146,037024	10,7885
2955	146,037124	6,1824
2956	146,037224	4,2555
2958	146,037524	4,8914
2959	146,037624	1,5244
2961	146,037624	3,99
2960	146,037624	5,1698
2963	146,038124	5,4016
2968	146,040824	4,7509
2969	146,042024	5,6485
2974	146,055424	2,5528
2979	146,057224	4,0235
2981	146,057424	3,5762
2985	146,058024	2,8215
2988	146,058724	4,8082
2989	146,059424	5,6367
2993	146,061624	1,0721
